"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2","M4A5Cf 2","ah5Ghc 3"
"https://www.google.com/maps/place/Taste+Of+Baraka/data=!4m7!3m6!1s0x3755c15d76c144bd:0xdd6fc9bec7e2aca0!8m2!3d23.8290041!4d90.3634715!16s%2Fg%2F11s5p47601!19sChIJvUTBdl3BVTcRoKzix77Jb90?authuser=0&hl=en&rclk=1","Taste Of Baraka","2.9","(7)","","","Restaurant","·","","Safura Trade City, 1 Sujat Nagar, 142 Sena Nibas Road Pallabi, Mirpur 12 Dhaka- 1216, Bangladesh Mirpur 12","","Open","⋅ Closes 10:30 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npdyzifSu5p7d7UDpqgd4KCxkXUdiW1RA4DXy7IsiqBS1gzbpB2DvfW_da7METX1yMQWAVRt7w81--nK9ZDQtlGLYdnpw6bFRXQ946EUABnJte7C4Zsbei9LrAd_iAiQ5aX_ori=w276-h92-k-no","Dine-in","·","Takeaway","·","Delivery"
"https://www.google.com/maps/place/Habib+hotel+and+restaurant/data=!4m7!3m6!1s0x3755c1bc96b6b3cb:0x64dfc1e3a46cf3bb!8m2!3d23.828279!4d90.3633299!16s%2Fg%2F11rfsyq7fy!19sChIJy7O2lrzBVTcRu_NspOPB32Q?authuser=0&hl=en&rclk=1","Habib hotel and restaurant","5.0","(3)","","","Asian","·","","R9H7+888","","","","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noF_SP6DGQUBttFwg9fIfk4vl0cCnuIwgsXNSqK9WtJp_rwOLgRsrST9T9ppTOmoveA-Cmwee107CUpoxbVCP4iV-N9wus5uL5yU8TKGiPu2rDLskHWHIipj_3DmQyCpgOOSs8P=w163-h92-k-no","Dine-in","·","Takeaway","",""
"https://www.google.com/maps/place/BurgerBoy+Bangladesh/data=!4m7!3m6!1s0x3755c1612708ac3f:0x56f2619673bcbc9f!8m2!3d23.8236699!4d90.3663409!16s%2Fg%2F11mv_nzbs6!19sChIJP6wIJ2HBVTcRn7y8c5Zh8lY?authuser=0&hl=en&rclk=1","BurgerBoy Bangladesh","5.0","(3)","","","Asian","·","","11, MDC School And College Canteen and Restaurant, MDC MODEL SCHOOL AND COLLAGE, 5 Bus Stand","","Open 24 hours","","https://lh3.googleusercontent.com/p/AF1QipMNII7JMdvoBdzLmFIUlMTkHR9dxz13jLzZooVa=w122-h92-k-no","Dine-in","·","Drive-through","·","No-contact delivery"
"https://www.google.com/maps/place/Delhi+Darbar/data=!4m7!3m6!1s0x3755c19bcb13580b:0x3f57fc9d0d9e6eab!8m2!3d23.8288961!4d90.3635903!16s%2Fg%2F11svwcym_g!19sChIJC1gTy5vBVTcRq26eDZ38Vz8?authuser=0&hl=en&rclk=1","Delhi Darbar","5.0","(1)","","","Restaurant","·","","R9H7+HC4","","Closed","⋅ Opens 10 AM Sat","https://lh3.googleusercontent.com/gps-cs-s/AC9h4np5mS5WwkcY5kXP7jGxuGqHxqXpQvyRP1ivOt9OGdSRorTu38hfv37m_4ZJi9FdOF9Lk0LnR2EU38Yk78y1V9nm7YcVZap-bXxyJhAwy3_7vJE8q6DgPW9sEjuolQsIrfCOU-7kOA=w163-h92-k-no","Dine-in","·","Takeaway","·","Delivery"
"https://www.google.com/maps/place/Pashtun/data=!4m7!3m6!1s0x3755c16531cc6df5:0xec725ece1f2a07b8!8m2!3d23.8287633!4d90.3636111!16s%2Fg%2F11j0s5ck1w!19sChIJ9W3MMWXBVTcRuAcqH85ecuw?authuser=0&hl=en&rclk=1","Pashtun","3.8","(12)","","","Restaurant","·","","Triple Seven Apparels Ltd., 12 Begum Rokeya Ave","","Open","⋅ Closes 10 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqQ1GgNwcqqmZXBoKOwTWncPzlLp0tjVhyRpeNKqyYdd2mtWRl1jSyegQTAmYnOFrmbWb5PmYbSYltTcBQGWpZA_IazUS1hm-R87NFeQGL2lW2jwzV59SxLOtqgiC_-ZAMUwRTIxg=w122-h92-k-no","Dine-in","·","Takeaway","",""
"https://www.google.com/maps/place/Family+Food+Land/data=!4m7!3m6!1s0x3755c10002e20771:0x65b2509012876108!8m2!3d23.8283928!4d90.3524493!16s%2Fg%2F11wqwybyvw!19sChIJcQfiAgDBVTcRCGGHEpBQsmU?authuser=0&hl=en&rclk=1","Family Food Land","5.0","(1)","","","Fast Food","·","","R9H2+9X4","","Open","⋅ Closes 10 PM","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xAkZVZOdOt_rbMMVH7edsw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=300.31305&pitch=0&thumbfov=100","Dine-in","·","Takeaway","",""
"https://www.google.com/maps/place/SheChef%27s+Empire/data=!4m7!3m6!1s0x3755c1364332c249:0x51f2446a14c6871b!8m2!3d23.8237388!4d90.3572393!16s%2Fg%2F11pm43tvcq!19sChIJScIyQzbBVTcRG4fGFGpE8lE?authuser=0&hl=en&rclk=1","SheChef's Empire","","","","","Restaurant","·","","House: 26, Road: 5, Rupnagar Rd","","Open","⋅ Closes 9:45 PM","https://lh3.googleusercontent.com/p/AF1QipPPid4_7NFQkz0ou_3IaZEQZH2jrD5b8QrHfZw=w80-h103-k-no","Dine-in","·","No-contact delivery","",""
"https://www.google.com/maps/place/City+chotpoti,+aziz+bhai/data=!4m7!3m6!1s0x3755c10051428397:0xf18f87f315c094b0!8m2!3d23.8229785!4d90.3661638!16s%2Fg%2F11mdpgf09k!19sChIJl4NCUQDBVTcRsJTAFfOHj_E?authuser=0&hl=en&rclk=1","City chotpoti, aziz bhai","","","","","Indian","·","","R9F8+5FM, Rd No 1","","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SDKDGHK5Y2Ple8ZfkjZnQg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=337.32977&pitch=0&thumbfov=100","","","","",""
"https://www.google.com/maps/place/The+Romancia+Buffet/data=!4m7!3m6!1s0x3755c1ad04de78a1:0x28a0e99ef9442b9e!8m2!3d23.8294674!4d90.3636017!16s%2Fg%2F11vl23wljd!19sChIJoXjeBK3BVTcRnitE-Z7poCg?authuser=0&hl=en&rclk=1","The Romancia Buffet","3.4","(450)","·","৳800–1,000","Buffet","·","","7th floor. Hazi Kujrat Ali Mollah Market 1/C Harunabad. Harun, Sattar Molla Road","","Closed","⋅ Opens 7 PM","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzO4C-XcZHfMTOUvhNG5OzMlnw1yMeQsLaxdlvRy8S04Sv88RN-gdjkL1XP62UabuwnQHnGIHlzCR338TKJWSUEe4eUltJNZ7mNGzWlLi2o8afUmeDD7zI5V8lSTC7mqWJx58iKg=w122-h92-k-no","Dine-in","","","",""
"https://www.google.com/maps/place/Orenda+%26+Beans/data=!4m7!3m6!1s0x3755c52e541b3ee1:0x9664cdb797689ba9!8m2!3d23.835906!4d90.3766512!16s%2Fg%2F11l37k6ht9!19sChIJ4T4bVC7FVTcRqZtol7fNZJY?authuser=0&hl=en&rclk=1","Orenda & Beans","4.6","(185)","","","Coffee shop","·","","New Shagupta, Gate No-1, Rooftop, 108 North Kalshi, Main Road","","","","https://lh3.googleusercontent.com/gps-cs-s/AC9h4npQWD6b4f5JA6I2SFHYUiYeDtvy2HuVFJQ2A-qfwtGaBc3aNGBQRJsh8xeCXTcdK8elyerzNLcL8bTIYtGkf1uWM2qz_4laNqZi-TafooWamnjxQm7ERVdBDHUBFL0mQmUzf6b2=w122-h92-k-no","Dine-in","·","Drive-through","·","No-contact delivery"
